movieId,title,clean_title,genres,year
161,Crimson Tide (1995),Crimson Tide,Drama|Thriller|War,1995
162,Crumb (1994),Crumb,Documentary,1994
163,Desperado (1995),Desperado,Action|Romance|Western,1995
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,Action|Crime|Thriller,1995
166,"Doom Generation, The (1995)","Doom Generation, The",Comedy|Crime|Drama,1995
168,First Knight (1995),First Knight,Action|Drama|Romance,1995
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995
170,Hackers (1995),Hackers,Action|Adventure|Crime|Thriller,1995
171,Jeffrey (1995),Jeffrey,Comedy|Drama,1995
172,Johnny Mnemonic (1995),Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
173,Judge Dredd (1995),Judge Dredd,Action|Crime|Sci-Fi,1995
174,Jury Duty (1995),Jury Duty,Comedy,1995
175,Kids (1995),Kids,Drama,1995
176,Living in Oblivion (1995),Living in Oblivion,Comedy,1995
177,Lord of Illusions (1995),Lord of Illusions,Horror,1995
178,Love & Human Remains (1993),Love & Human Remains,Comedy|Drama,1993
179,Mad Love (1995),Mad Love,Drama|Romance,1995
180,Mallrats (1995),Mallrats,Comedy|Romance,1995
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,Action|Children,1995
183,Mute Witness (1994),Mute Witness,Comedy|Horror|Thriller,1994
184,Nadja (1994),Nadja,Drama,1994
185,"Net, The (1995)","Net, The",Action|Crime|Thriller,1995
186,Nine Months (1995),Nine Months,Comedy|Romance,1995
187,Party Girl (1995),Party Girl,Comedy,1995
188,"Prophecy, The (1995)","Prophecy, The",Fantasy|Horror|Mystery,1995
189,Reckless (1995),Reckless,Comedy|Fantasy,1995
190,Safe (1995),Safe,Thriller,1995
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",Drama|Romance,1995
193,Showgirls (1995),Showgirls,Drama,1995
194,Smoke (1995),Smoke,Comedy|Drama,1995
195,Something to Talk About (1995),Something to Talk About,Comedy|Drama|Romance,1995
196,Species (1995),Species,Horror|Sci-Fi,1995
198,Strange Days (1995),Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1964
201,Three Wishes (1995),Three Wishes,Drama|Fantasy,1995
202,Total Eclipse (1995),Total Eclipse,Drama|Romance,1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,Action,1995
205,Unstrung Heroes (1995),Unstrung Heroes,Comedy|Drama,1995
206,Unzipped (1995),Unzipped,Documentary,1995
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",Drama|Romance,1995
208,Waterworld (1995),Waterworld,Action|Adventure|Sci-Fi,1995
209,White Man's Burden (1995),White Man's Burden,Drama,1995
210,Wild Bill (1995),Wild Bill,Western,1995
211,"Browning Version, The (1994)","Browning Version, The",Drama,1994
212,Bushwhacked (1995),Bushwhacked,Adventure|Comedy|Crime|Mystery,1995
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem),Drama,1994
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),Drama|War,1994
215,Before Sunrise (1995),Before Sunrise,Drama|Romance,1995
216,Billy Madison (1995),Billy Madison,Comedy,1995
217,"Babysitter, The (1995)","Babysitter, The",Drama|Thriller,1995
218,Boys on the Side (1995),Boys on the Side,Comedy|Drama,1995
219,"Cure, The (1995)","Cure, The",Drama,1995
220,Castle Freak (1995),Castle Freak,Horror,1995
222,Circle of Friends (1995),Circle of Friends,Drama|Romance,1995
223,Clerks (1994),Clerks,Comedy,1994
224,Don Juan DeMarco (1995),Don Juan DeMarco,Comedy|Drama|Romance,1995
225,Disclosure (1994),Disclosure,Drama|Thriller,1994
227,Drop Zone (1994),Drop Zone,Action|Thriller,1994
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,Comedy,1995
229,Death and the Maiden (1994),Death and the Maiden,Drama|Thriller,1994
230,Dolores Claiborne (1995),Dolores Claiborne,Drama|Thriller,1995
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,1994
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,1994
233,Exotica (1994),Exotica,Drama,1994
234,Exit to Eden (1994),Exit to Eden,Comedy,1994
235,Ed Wood (1994),Ed Wood,Comedy|Drama,1994
236,French Kiss (1995),French Kiss,Action|Comedy|Romance,1995
237,Forget Paris (1995),Forget Paris,Comedy|Romance,1995
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995
239,"Goofy Movie, A (1995)","Goofy Movie, A",Animation|Children|Comedy|Romance,1995
240,Hideaway (1995),Hideaway,Thriller,1995
241,Fluke (1995),Fluke,Children|Drama,1995
242,Farinelli: il castrato (1994),Farinelli: il castrato,Drama|Musical,1994
243,Gordy (1995),Gordy,Children|Comedy|Fantasy,1995
246,Hoop Dreams (1994),Hoop Dreams,Documentary,1994
247,Heavenly Creatures (1994),Heavenly Creatures,Crime|Drama,1994
248,Houseguest (1994),Houseguest,Comedy,1994
249,Immortal Beloved (1994),Immortal Beloved,Drama|Romance,1994
250,Heavyweights (Heavy Weights) (1995),Heavyweights (Heavy Weights),Children|Comedy,1995
251,"Hunted, The (1995)","Hunted, The",Action,1995
252,I.Q. (1994),I.Q.,Comedy|Romance,1994
253,Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994
254,Jefferson in Paris (1995),Jefferson in Paris,Drama,1995
255,"Jerky Boys, The (1995)","Jerky Boys, The",Comedy,1995
256,Junior (1994),Junior,Comedy|Sci-Fi,1994
257,Just Cause (1995),Just Cause,Mystery|Thriller,1995
258,"Kid in King Arthur's Court, A (1995)","Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,1995
259,Kiss of Death (1995),Kiss of Death,Crime|Drama|Thriller,1995
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
261,Little Women (1994),Little Women,Drama,1994
262,"Little Princess, A (1995)","Little Princess, A",Children|Drama,1995
263,Ladybird Ladybird (1994),Ladybird Ladybird,Drama,1994
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992
266,Legends of the Fall (1994),Legends of the Fall,Drama|Romance|War|Western,1994
267,Major Payne (1995),Major Payne,Comedy,1995
269,My Crazy Life (Mi vida loca) (1993),My Crazy Life (Mi vida loca),Drama,1993
270,Love Affair (1994),Love Affair,Drama|Romance,1994
271,Losing Isaiah (1995),Losing Isaiah,Drama,1995
272,"Madness of King George, The (1994)","Madness of King George, The",Comedy|Drama,1994
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,1994
274,Man of the House (1995),Man of the House,Comedy,1995
275,Mixed Nuts (1994),Mixed Nuts,Comedy,1994
276,Milk Money (1994),Milk Money,Comedy|Romance,1994
277,Miracle on 34th Street (1994),Miracle on 34th Street,Drama,1994
278,Miami Rhapsody (1995),Miami Rhapsody,Comedy,1995
279,My Family (1995),My Family,Drama,1995
280,Murder in the First (1995),Murder in the First,Drama|Thriller,1995
281,Nobody's Fool (1994),Nobody's Fool,Comedy|Drama|Romance,1994
282,Nell (1994),Nell,Drama,1994
283,New Jersey Drive (1995),New Jersey Drive,Crime|Drama,1995
284,New York Cop (Nyû Yôku no koppu) (1993),New York Cop (Nyû Yôku no koppu),Action|Crime,1993
285,Beyond Bedlam (1993),Beyond Bedlam,Drama|Horror,1993
287,Nina Takes a Lover (1994),Nina Takes a Lover,Comedy|Romance,1994
288,Natural Born Killers (1994),Natural Born Killers,Action|Crime|Thriller,1994
289,Only You (1994),Only You,Comedy|Romance,1994
290,Once Were Warriors (1994),Once Were Warriors,Crime|Drama,1994
291,Poison Ivy II (1996),Poison Ivy II,Drama|Thriller,1996
292,Outbreak (1995),Outbreak,Action|Drama|Sci-Fi|Thriller,1995
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,1994
294,"Perez Family, The (1995)","Perez Family, The",Comedy|Romance,1995
295,"Pyromaniac's Love Story, A (1995)","Pyromaniac's Love Story, A",Comedy|Romance,1995
296,Pulp Fiction (1994),Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
298,Pushing Hands (Tui shou) (1992),Pushing Hands (Tui shou),Drama,1992
299,Priest (1994),Priest,Drama,1994
300,Quiz Show (1994),Quiz Show,Drama,1994
301,Picture Bride (Bijo photo) (1994),Picture Bride (Bijo photo),Drama|Romance,1994
302,"Queen Margot (Reine Margot, La) (1994)","Queen Margot (Reine Margot, La)",Drama|Romance,1994
303,"Quick and the Dead, The (1995)","Quick and the Dead, The",Action|Thriller|Western,1995
304,Roommates (1995),Roommates,Comedy|Drama,1995
305,Ready to Wear (Pret-A-Porter) (1994),Ready to Wear (Pret-A-Porter),Comedy,1994
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Three Colors: Red (Trois couleurs: Rouge),Drama,1994
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Three Colors: Blue (Trois couleurs: Bleu),Drama,1993
308,Three Colors: White (Trzy kolory: Bialy) (1994),Three Colors: White (Trzy kolory: Bialy),Comedy|Drama,1994
310,Rent-a-Kid (1995),Rent-a-Kid,Comedy,1995
311,Relative Fear (1994),Relative Fear,Horror|Thriller,1994
312,Stuart Saves His Family (1995),Stuart Saves His Family,Comedy,1995
313,"Swan Princess, The (1994)","Swan Princess, The",Animation|Children,1994
314,"Secret of Roan Inish, The (1994)","Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,1994
315,"Specialist, The (1994)","Specialist, The",Action|Drama|Thriller,1994
316,Stargate (1994),Stargate,Action|Adventure|Sci-Fi,1994
317,"Santa Clause, The (1994)","Santa Clause, The",Comedy|Drama|Fantasy,1994
318,"Shawshank Redemption, The (1994)","Shawshank Redemption, The",Crime|Drama,1994
319,Shallow Grave (1994),Shallow Grave,Comedy|Drama|Thriller,1994
320,Suture (1993),Suture,Film-Noir|Thriller,1993
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Strawberry and Chocolate (Fresa y chocolate),Drama,1993
322,Swimming with Sharks (1995),Swimming with Sharks,Comedy|Drama,1995
324,"Sum of Us, The (1994)","Sum of Us, The",Comedy|Drama,1994
325,National Lampoon's Senior Trip (1995),National Lampoon's Senior Trip,Comedy,1995
326,To Live (Huozhe) (1994),To Live (Huozhe),Drama,1994
327,Tank Girl (1995),Tank Girl,Action|Comedy|Sci-Fi,1995
328,Tales from the Crypt Presents: Demon Knight (1995),Tales from the Crypt Presents: Demon Knight,Horror|Thriller,1995
329,Star Trek: Generations (1994),Star Trek: Generations,Adventure|Drama|Sci-Fi,1994
330,Tales from the Hood (1995),Tales from the Hood,Action|Crime|Horror,1995
331,Tom & Viv (1994),Tom & Viv,Drama,1994
332,Village of the Damned (1995),Village of the Damned,Horror|Sci-Fi,1995
333,Tommy Boy (1995),Tommy Boy,Comedy,1995
334,Vanya on 42nd Street (1994),Vanya on 42nd Street,Drama,1994
335,Underneath (1995),Underneath,Mystery|Thriller,1995
336,"Walking Dead, The (1995)","Walking Dead, The",Drama|War,1995
337,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,Drama,1993
338,Virtuosity (1995),Virtuosity,Action|Sci-Fi|Thriller,1995
339,While You Were Sleeping (1995),While You Were Sleeping,Comedy|Romance,1995
340,"War, The (1994)","War, The",Adventure|Drama|War,1994
341,Double Happiness (1994),Double Happiness,Drama,1994
342,Muriel's Wedding (1994),Muriel's Wedding,Comedy,1994
343,"Baby-Sitters Club, The (1995)","Baby-Sitters Club, The",Children,1995
344,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,Comedy,1994
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,1994
346,Backbeat (1993),Backbeat,Drama|Musical,1993
347,Bitter Moon (1992),Bitter Moon,Drama|Film-Noir|Romance,1992
348,Bullets Over Broadway (1994),Bullets Over Broadway,Comedy,1994
349,Clear and Present Danger (1994),Clear and Present Danger,Action|Crime|Drama|Thriller,1994
350,"Client, The (1994)","Client, The",Drama|Mystery|Thriller,1994
351,"Corrina, Corrina (1994)","Corrina, Corrina",Comedy|Drama|Romance,1994
352,Crooklyn (1994),Crooklyn,Comedy|Drama,1994
353,"Crow, The (1994)","Crow, The",Action|Crime|Fantasy|Thriller,1994
354,Cobb (1994),Cobb,Drama,1994
355,"Flintstones, The (1994)","Flintstones, The",Children|Comedy|Fantasy,1994
356,Forrest Gump (1994),Forrest Gump,Comedy|Drama|Romance|War,1994
357,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,Comedy|Romance,1994
358,Higher Learning (1995),Higher Learning,Drama,1995
359,I Like It Like That (1994),I Like It Like That,Comedy|Drama|Romance,1994
360,I Love Trouble (1994),I Love Trouble,Action|Comedy,1994
361,It Could Happen to You (1994),It Could Happen to You,Comedy|Drama|Romance,1994
362,"Jungle Book, The (1994)","Jungle Book, The",Adventure|Children|Romance,1994
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)","Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,1993
364,"Lion King, The (1994)","Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,1994
365,Little Buddha (1993),Little Buddha,Drama,1993
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama|Horror|Mystery|Thriller,1994
367,"Mask, The (1994)","Mask, The",Action|Comedy|Crime|Fantasy,1994
368,Maverick (1994),Maverick,Adventure|Comedy|Western,1994
369,Mrs. Parker and the Vicious Circle (1994),Mrs. Parker and the Vicious Circle,Drama,1994
370,Naked Gun 33 1/3: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult,Action|Comedy,1994
371,"Paper, The (1994)","Paper, The",Comedy|Drama,1994
372,Reality Bites (1994),Reality Bites,Comedy|Drama|Romance,1994
373,Red Rock West (1992),Red Rock West,Thriller,1992
374,Richie Rich (1994),Richie Rich,Children|Comedy,1994
376,"River Wild, The (1994)","River Wild, The",Action|Thriller,1994
377,Speed (1994),Speed,Action|Romance|Thriller,1994
378,Speechless (1994),Speechless,Comedy|Romance,1994
379,Timecop (1994),Timecop,Action|Sci-Fi|Thriller,1994
380,True Lies (1994),True Lies,Action|Adventure|Comedy|Romance|Thriller,1994
381,When a Man Loves a Woman (1994),When a Man Loves a Woman,Drama|Romance,1994
382,Wolf (1994),Wolf,Drama|Horror|Romance|Thriller,1994
383,Wyatt Earp (1994),Wyatt Earp,Western,1994
384,Bad Company (1995),Bad Company,Action|Crime|Drama,1995
385,"Man of No Importance, A (1994)","Man of No Importance, A",Drama,1994
386,S.F.W. (1994),S.F.W.,Drama,1994
387,"Low Down Dirty Shame, A (1994)","Low Down Dirty Shame, A",Action|Comedy,1994
388,Boys Life (1995),Boys Life,Drama,1995
389,"Colonel Chabert, Le (1994)","Colonel Chabert, Le",Drama|Romance|War,1994
390,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!,Action|Crime|Drama,1965
391,Jason's Lyric (1994),Jason's Lyric,Crime|Drama,1994
393,Street Fighter (1994),Street Fighter,Action|Adventure|Fantasy,1994
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Action|Fantasy,1994
406,Federal Hill (1994),Federal Hill,Drama,1994
407,In the Mouth of Madness (1995),In the Mouth of Madness,Horror|Thriller,1995
408,8 Seconds (1994),8 Seconds,Drama,1994
409,Above the Rim (1994),Above the Rim,Crime|Drama,1994
410,Addams Family Values (1993),Addams Family Values,Children|Comedy|Fantasy,1993
412,"Age of Innocence, The (1993)","Age of Innocence, The",Drama,1993
413,Airheads (1994),Airheads,Comedy,1994
414,"Air Up There, The (1994)","Air Up There, The",Comedy,1994
415,Another Stakeout (1993),Another Stakeout,Comedy|Thriller,1993
416,Bad Girls (1994),Bad Girls,Western,1994
417,Barcelona (1994),Barcelona,Comedy|Romance,1994
418,Being Human (1993),Being Human,Drama,1993
419,"Beverly Hillbillies, The (1993)","Beverly Hillbillies, The",Comedy,1993
420,Beverly Hills Cop III (1994),Beverly Hills Cop III,Action|Comedy|Crime|Thriller,1994
421,Black Beauty (1994),Black Beauty,Adventure|Children|Drama,1994
422,Blink (1994),Blink,Thriller,1994
423,Blown Away (1994),Blown Away,Action|Thriller,1994
424,Blue Chips (1994),Blue Chips,Drama,1994
425,Blue Sky (1994),Blue Sky,Drama|Romance,1994
426,Body Snatchers (1993),Body Snatchers,Horror|Sci-Fi|Thriller,1993
427,Boxing Helena (1993),Boxing Helena,Drama|Mystery|Romance|Thriller,1993
428,"Bronx Tale, A (1993)","Bronx Tale, A",Drama,1993
429,Cabin Boy (1994),Cabin Boy,Comedy,1994
430,Calendar Girl (1993),Calendar Girl,Comedy|Drama,1993
